"Z"	"vertebrates"	"diversity"	"stability"	"richness"	"biomass"
0.001	true	0.5372435733446785	-4.452858308131874	0.25	1.0416612881096519
0.01	true	0.21288198096988734	-7.18813737631277	0.27885	0.4469697633351014
0.1	true	0.3505885070073305	-8.744939528952262	0.2	1.0285090743143495
1.0	true	0.4627564263194113	-7.036941541287244	0.2	1.0389550488149164
10.0	true	0.4224489783157167	-1.332335593042491	0.3	1.029580889613269
1000.0	true	0.6552298717120996	-1.4906064813088136	0.35	1.0447715495221255
0.001	false	0.329507009123079	-5.416757154333736	0.35	1.0435636920292084
0.01	false	0.5453076741437513	-4.25240408412914	0.55	1.0425435047461427
0.1	false	0.613307382019859	-4.8519291425563775	0.5	1.044330396234525
1.0	false	0.5344932519707801	-6.341718799669479	0.35	1.041654605484584
10.0	false	0.6303180811386465	-3.8799747962309623	0.5	1.0443575879314217
100.0	false	0.42915694264302223	-5.835780152534835	0.3	0.8188268803222472
1000.0	false	0.5634773499889864	-4.54136603816202	0.55	1.042361485761552
0.001	true	0.530519763685611	-2.2863847185140758	0.35	1.0397850808214146
0.01	true	0.48232301674035555	-0.0025013548688125843	0.25	1.037878368196326
1.0	true	0.4566705070616491	-4.348249966886503	0.25	1.037873381193349
10.0	true	0.6548338264875847	-1.455948964810725	0.35	1.0447715517991432
100.0	true	0.4448599401656373	-1.0351242590485181	0.3	1.0357480496278484
1000.0	true	0.41376906052711215	-1.5643942082592672	0.35	0.9796246963311339
0.001	false	0.7681425643188817	-3.7030396320384242	0.5	1.0471013983570452
0.01	false	0.6473715697357076	-3.953953641563671	0.55	1.0449395381026743
0.1	false	0.4253875840509364	-4.8568904515007905	0.5	1.0337241695386918
1.0	false	0.6308447229950541	-5.800190226013312	0.4	1.0442623373285576
10.0	false	0.6805145446266313	-2.627627447940552	0.66695	1.0456736319723334
100.0	false	0.48468612711188247	-4.747297297939204	0.4	0.8087311807085416
1000.0	false	0.5924077986094625	-5.440238569088211	0.5	1.043279688855705
0.001	true	0.536091033110071	-5.2356788272571375	0.35	1.0413414977292264
0.01	true	0.5360844893707453	-3.797850492752211	0.3	1.0413407705075521
1.0	true	0.7001521916015752	-2.0912746784547163	0.4	1.0457473497251049
10.0	true	0.4367661177063468	-1.1562053655097198	0.35	1.0196510644785723
100.0	true	0.5372435735652805	-6.592344105235824	0.25	1.0416612860700398
1000.0	true	0.6495607565944084	-3.01134922504692	0.35	1.0447715484798883
0.001	false	0.38377656920773867	-6.7586123888150995	0.3	1.033291051565106
0.01	false	0.6456639966546336	-3.7042697200652297	0.5133	1.044778779118701
0.1	false	0.5511353107458014	-6.1069271898552335	0.4	1.0339854385493308
1.0	false	0.55749601866231	-4.402100804334998	0.5	1.0422992827428335
10.0	false	0.39755108656659205	-6.068525701675511	0.35895	1.0324479408671554
100.0	false	0.5861017301267119	-5.665655130959513	0.34845000000000004	1.0431121669322534
1000.0	false	0.5096330627628946	-7.5813214958542705	0.35	1.0405823020210534
0.001	true	0.6996060330466821	-0.4234946979465331	0.4	1.0457470942299545
0.01	true	0.5360844224762679	-3.4225667820560908	0.3	1.0413414797636522
0.1	true	0.37434130495878937	-2.1489076512607754	0.3	0.8492998243318062
1.0	true	0.4391590118902643	-1.5497978703596706	0.4	1.0185072077242388
10.0	true	0.6495607478425415	-2.976181376843136	0.35	1.0447715487818905
100.0	true	0.6030322859436781	-4.828195894579621	0.30975	1.0434733378573673
1000.0	true	0.2185265001565241	-5.278347531015633	0.15	0.6278408911070713
0.001	false	0.3685642674376161	-5.642383004278278	0.40105	1.0330941164208076
0.01	false	0.6339142324341654	-2.6928992044712015	0.65	1.044635006317413
0.1	false	0.6034650126500363	-2.6924187760626994	0.62065	1.044936283413678
